Employee Name,Username,Department,Last Day,Notes
Diane Kessler,dkessler,HR,03/04/2026,Retirement
Trevor Nash,tnash,Operations,25/06/2026,Resigned. Badge returned.
Harold Grady,hgrady,IT,28/07/2023,Left before my time. Found in audit.
Roland Pace,rpace,Operations,22/04/2025,
Kathy Ferreira,kferreira,Operations,12/12/2025,Payroll has her as Katherine A.
Owen Radcliffe,oradcliffe,Operations,12/09/2025,Contractor via Kestrel. Not payroll.
Erin Hoffman,ehoffman,IT,14/01/2026,
Sean Foster,sfoster,IT,03/02/2026,
Marcus Johnson,mjohnson,IT,17/07/2026,Disabled by R. Ito 17 July
Denise Alvarez,dalvarez,Finance,30/01/2026,
Peter Nakamura,pnakamura,Finance,11/11/2025,
Grace Okonkwo,gokonkwo,HR,19/03/2026,
"Ferreira, Kathy","kferreira ",Operations,Dec 2025,possible duplicate? check w Sandra
Aaron Whitlock,awhitlock,Operations,6/14/2026,
Bianca Ferreiro,bferreiro,Finance,6/2/2026,
,jhalloway,HR,22-Jun-26,name? cannot remember
Nadia Brooks,,Operations,09/06/2026,need username from IT
Colin Wexford,NMG-1187,Finance,17/06/2026,
Harold Grady,hgrady,IT,July 2023,
Theresa Vance,"tvance ",HR,6/30/2026,"Hi Michelle, just confirming Theresa finishes on the 30th, her last day is a Tuesday. Can you let payroll know as well? Thanks, Sandra"
Douglas Mbeki,dmbeki,Operations,11-Jun-26,
,,,,
Alina Petrova,apetrova,Finance,25/06/2026,
Wendell Cho,wcho,IT,6/8/2026,
Rosalind Quaye,rquaye,HR,19-Jun-26,
Marcus Delacroix,mdelacroix,Operations,02/06/2026,
Ivan Sorokin,isorokin,Finance,14/07/2026,from review list
Priya Patel,ppatel,IT,,from review list
Scanner Service,svc_scanner,IT,,from review list
Lucy Ansari,lansari,Operations,21/07/2026,from review list
Bruno Feld,"bfeld ",Finance,08/07/2026,from review list
Yusuf Adeyemi,yadeyemi,IT,03/07/2026,from review list
Test Account,test.user,IT,,from review list
Marguerite Oyelaran,moyelaran,HR,30/07/2026,from review list
Callum Petrie,cpetrie,Operations,11/07/2026,from review list
Hana Yoshida,hyoshida,Finance,24/07/2026,from review list
Elias Bergstrom,ebergstrom,IT,07/07/2026,from review list
Sylvia Marchetti,smarchetti,HR,16/07/2026,from review list
Nathaniel Osei,nosei,Operations,29/07/2026,from review list
Backup Service,svc_backup,IT,,from review list
